Tahun,Bulan,Jumlah Kasus,Kecamatan,Suhu,Kelembapan,Curah_hujan,Lama_penyinaran_matahari,Angin,Jumlah_penduduk,IR
2019,2019-01-01,5,Meuraxa,27.0,82.0,14.3,5.3,3.0,22625,22.099447513812155
2019,2019-02-01,10,Meuraxa,27.0,83.0,17.0,6.8,3.0,22625,44.19889502762431
2019,2019-03-01,4,Meuraxa,27.2,83.0,12.4,6.3,2.0,22625,17.67955801104972
2019,2019-04-01,2,Meuraxa,28.0,82.0,10.0,6.0,2.0,22625,8.83977900552486
2019,2019-05-01,0,Meuraxa,28.0,79.0,9.0,6.0,3.0,22625,0.0
2019,2019-06-01,1,Meuraxa,28.2,76.0,4.6,5.0,2.0,22625,4.41988950276243
2019,2019-07-01,2,Meuraxa,28.0,76.0,10.8,6.7,2.0,22625,8.83977900552486
2019,2019-08-01,4,Meuraxa,28.0,72.0,4.0,5.6,3.0,22625,17.67955801104972
2019,2019-09-01,4,Meuraxa,28.0,79.0,7.3,4.0,2.0,22625,17.67955801104972
2019,2019-10-01,10,Meuraxa,26.0,88.0,17.0,3.0,2.0,22625,44.19889502762431
2019,2019-11-01,8,Meuraxa,26.7,84.0,12.3,4.0,2.0,22625,35.35911602209944
2019,2019-12-01,15,Meuraxa,26.3,83.0,22.8,4.0,3.0,22625,66.29834254143647
2019,2019-01-01,3,Jaya Baru,27.0,82.0,14.3,5.3,3.0,25039,11.981309157713966
2019,2019-02-01,11,Jaya Baru,27.0,83.0,17.0,6.8,3.0,25039,43.931466911617875
2019,2019-03-01,1,Jaya Baru,27.2,83.0,12.4,6.3,2.0,25039,3.9937697192379886
2019,2019-04-01,0,Jaya Baru,28.0,82.0,10.0,6.0,2.0,25039,0.0
2019,2019-05-01,1,Jaya Baru,28.0,79.0,9.0,6.0,3.0,25039,3.9937697192379886
2019,2019-06-01,1,Jaya Baru,28.2,76.0,4.6,5.0,2.0,25039,3.9937697192379886
2019,2019-07-01,0,Jaya Baru,28.0,76.0,10.8,6.7,2.0,25039,0.0
2019,2019-08-01,4,Jaya Baru,28.0,72.0,4.0,5.6,3.0,25039,15.975078876951954
2019,2019-09-01,3,Jaya Baru,28.0,79.0,7.3,4.0,2.0,25039,11.981309157713966
2019,2019-10-01,5,Jaya Baru,26.0,88.0,17.0,3.0,2.0,25039,19.968848596189943
2019,2019-11-01,9,Jaya Baru,26.7,84.0,12.3,4.0,2.0,25039,35.9439274731419
2019,2019-12-01,6,Jaya Baru,26.3,83.0,22.8,4.0,3.0,25039,23.96261831542793
2019,2019-01-01,6,Banda Raya,27.0,82.0,14.3,5.3,3.0,24699,24.292481476982875
2019,2019-02-01,1,Banda Raya,27.0,83.0,17.0,6.8,3.0,24699,4.048746912830478
2019,2019-03-01,2,Banda Raya,27.2,83.0,12.4,6.3,2.0,24699,8.097493825660957
2019,2019-04-01,0,Banda Raya,28.0,82.0,10.0,6.0,2.0,24699,0.0
2019,2019-05-01,0,Banda Raya,28.0,79.0,9.0,6.0,3.0,24699,0.0
2019,2019-06-01,2,Banda Raya,28.2,76.0,4.6,5.0,2.0,24699,8.097493825660957
2019,2019-07-01,3,Banda Raya,28.0,76.0,10.8,6.7,2.0,24699,12.146240738491437
2019,2019-08-01,0,Banda Raya,28.0,72.0,4.0,5.6,3.0,24699,0.0
2019,2019-09-01,0,Banda Raya,28.0,79.0,7.3,4.0,2.0,24699,0.0
2019,2019-10-01,2,Banda Raya,26.0,88.0,17.0,3.0,2.0,24699,8.097493825660957
2019,2019-11-01,6,Banda Raya,26.7,84.0,12.3,4.0,2.0,24699,24.292481476982875
2019,2019-12-01,8,Banda Raya,26.3,83.0,22.8,4.0,3.0,24699,32.389975302643826
2019,2019-01-01,2,Baiturrahman,27.0,82.0,14.3,5.3,3.0,32838,6.090504902856447
2019,2019-02-01,12,Baiturrahman,27.0,83.0,17.0,6.8,3.0,32838,36.54302941713868
2019,2019-03-01,5,Baiturrahman,27.2,83.0,12.4,6.3,2.0,32838,15.226262257141116
2019,2019-04-01,3,Baiturrahman,28.0,82.0,10.0,6.0,2.0,32838,9.13575735428467
2019,2019-05-01,1,Baiturrahman,28.0,79.0,9.0,6.0,3.0,32838,3.0452524514282233
2019,2019-06-01,1,Baiturrahman,28.2,76.0,4.6,5.0,2.0,32838,3.0452524514282233
2019,2019-07-01,2,Baiturrahman,28.0,76.0,10.8,6.7,2.0,32838,6.090504902856447
2019,2019-08-01,1,Baiturrahman,28.0,72.0,4.0,5.6,3.0,32838,3.0452524514282233
2019,2019-09-01,1,Baiturrahman,28.0,79.0,7.3,4.0,2.0,32838,3.0452524514282233
2019,2019-10-01,3,Baiturrahman,26.0,88.0,17.0,3.0,2.0,32838,9.13575735428467
2019,2019-11-01,4,Baiturrahman,26.7,84.0,12.3,4.0,2.0,32838,12.181009805712893
2019,2019-12-01,6,Baiturrahman,26.3,83.0,22.8,4.0,3.0,32838,18.27151470856934
2019,2019-01-01,4,Lueng Bata,27.0,82.0,14.3,5.3,3.0,24278,16.475821731608864
2019,2019-02-01,2,Lueng Bata,27.0,83.0,17.0,6.8,3.0,24278,8.237910865804432
2019,2019-03-01,0,Lueng Bata,27.2,83.0,12.4,6.3,2.0,24278,0.0
2019,2019-04-01,0,Lueng Bata,28.0,82.0,10.0,6.0,2.0,24278,0.0
2019,2019-05-01,2,Lueng Bata,28.0,79.0,9.0,6.0,3.0,24278,8.237910865804432
2019,2019-06-01,0,Lueng Bata,28.2,76.0,4.6,5.0,2.0,24278,0.0
2019,2019-07-01,0,Lueng Bata,28.0,76.0,10.8,6.7,2.0,24278,0.0
2019,2019-08-01,0,Lueng Bata,28.0,72.0,4.0,5.6,3.0,24278,0.0
2019,2019-09-01,1,Lueng Bata,28.0,79.0,7.3,4.0,2.0,24278,4.118955432902216
2019,2019-10-01,2,Lueng Bata,26.0,88.0,17.0,3.0,2.0,24278,8.237910865804432
2019,2019-11-01,12,Lueng Bata,26.7,84.0,12.3,4.0,2.0,24278,49.427465194826596
